skill_count,has_projects,has_internship,has_education,has_certifications,action_verb_count,quantified,experience_years,word_count_norm,shortlisted,job_role,salary_band,company_type
4,0,0,1,1,10,1,2.2,0.704,1,Data Analyst,5-8 LPA,Service-Based Company
8,1,0,1,1,8,1,1.8,0.384,1,Full Stack Developer,8-12 LPA,Service-Based Company
6,1,0,1,1,5,0,1.5,0.467,1,DevOps / Cloud Engineer,8-12 LPA,Service-Based Company
2,1,1,1,0,8,0,2.5,0.47,1,Data Analyst,8-12 LPA,Mid-Size Tech / Startup
3,0,0,1,0,3,1,1.5,0.564,0,Backend Developer,3-5 LPA,Mid-Size Tech / Startup
7,1,1,1,0,10,0,2.9,0.267,1,Embedded Systems Engineer,12-20 LPA,Mid-Size Tech / Startup
13,1,1,1,0,5,1,3.1,0.334,1,Backend Developer,12-20 LPA,Product-Based Company
9,0,1,1,1,3,1,1.6,0.758,1,Backend Developer,8-12 LPA,Product-Based Company
5,1,0,1,0,9,1,2.3,0.47,1,Backend Developer,8-12 LPA,Service-Based Company
3,1,1,1,0,10,1,0.3,0.49,0,Backend Developer,8-12 LPA,Mid-Size Tech / Startup
18,1,0,1,1,8,1,3.1,0.448,1,Machine Learning Engineer,12-20 LPA,Service-Based Company
15,0,1,1,1,12,0,3.7,0.74,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
10,1,1,1,0,2,1,3.1,0.643,1,Backend Developer,12-20 LPA,Product-Based Company
1,0,1,1,1,3,0,3.5,0.18,1,Full Stack Developer,5-8 LPA,Mid-Size Tech / Startup
16,1,1,1,0,10,1,2.2,0.371,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
7,1,1,1,1,6,1,2.6,0.548,1,DevOps / Cloud Engineer,12-20 LPA,Mid-Size Tech / Startup
17,1,0,1,0,8,0,0.9,0.172,1,Machine Learning Engineer,8-12 LPA,Service-Based Company
3,1,1,1,0,10,1,2.2,0.84,1,Backend Developer,12-20 LPA,Mid-Size Tech / Startup
8,1,1,1,0,6,0,1.6,0.846,1,Frontend Developer,8-12 LPA,Mid-Size Tech / Startup
4,0,1,1,0,3,0,1.8,0.532,0,Data Analyst,5-8 LPA,Mid-Size Tech / Startup
15,1,1,1,1,8,0,2.6,0.653,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
8,0,1,1,0,0,0,0.0,0.499,1,Backend Developer,5-8 LPA,Mid-Size Tech / Startup
15,1,1,1,1,10,1,0.6,0.403,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
18,0,0,1,1,8,0,3.8,0.182,1,Machine Learning Engineer,12-20 LPA,Service-Based Company
6,0,0,1,0,9,0,2.4,0.734,0,Backend Developer,5-8 LPA,Mid-Size Tech / Startup
7,1,0,1,0,10,0,1.3,0.869,1,Data Analyst,8-12 LPA,Service-Based Company
1,1,1,1,0,3,1,0.5,0.457,0,Backend Developer,8-12 LPA,Mid-Size Tech / Startup
6,1,1,1,1,12,1,0.0,0.667,1,DevOps / Cloud Engineer,8-12 LPA,Mid-Size Tech / Startup
10,1,0,1,0,1,1,0.6,0.388,1,Full Stack Developer,8-12 LPA,Service-Based Company
9,1,0,1,0,10,1,1.1,0.103,1,Backend Developer,8-12 LPA,Service-Based Company
5,1,0,1,1,6,1,0.4,0.807,1,Backend Developer,8-12 LPA,Service-Based Company
18,0,0,1,1,12,1,0.2,0.466,1,Machine Learning Engineer,8-12 LPA,Service-Based Company
7,1,1,1,1,6,1,3.0,0.342,1,DevOps / Cloud Engineer,12-20 LPA,Mid-Size Tech / Startup
6,1,0,1,0,6,1,3.5,0.354,1,Backend Developer,8-12 LPA,Service-Based Company
6,1,0,1,1,3,0,3.7,0.458,1,DevOps / Cloud Engineer,8-12 LPA,Service-Based Company
8,1,1,1,0,1,1,1.1,0.756,1,Frontend Developer,8-12 LPA,Mid-Size Tech / Startup
13,1,1,1,0,4,0,3.9,0.371,1,Backend Developer,12-20 LPA,Product-Based Company
